# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 999, i.e. number of multipoles equal to 998
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:lens[1]-lens[1]        3:lens[1]-lens[2]        4:lens[2]-lens[2]    
  122       2.596534158969e-14       6.089825557509e-14       2.515017178603e-13 
  123       2.530895035976e-14       5.934744842303e-14       2.450473047734e-13 
  124       2.467572848040e-14       5.785153280207e-14       2.388218128881e-13 
  125       2.406448224728e-14       5.640768917377e-14       2.328134876088e-13 
  126       2.347384129827e-14       5.501268055101e-14       2.270088355965e-13 
  127       2.290225426498e-14       5.366284222334e-14       2.213925819846e-13 
  128       2.234798442444e-14       5.235407148240e-14       2.159476275943e-13 
  129       2.180946207095e-14       5.108265994740e-14       2.106585138056e-13 
  130       2.128639457309e-14       4.984791559961e-14       2.055223377948e-13 
  131       2.077877044060e-14       4.864981031034e-14       2.005389594323e-13 
  132       2.028651174181e-14       4.748815882118e-14       1.957075834525e-13 
  133       1.980947230772e-14       4.636261449867e-14       1.910267417689e-13 
  134       1.934743593621e-14       4.527266508904e-14       1.864942757895e-13 
  135       1.890011459618e-14       4.421762847290e-14       1.821073187318e-13 
  136       1.846714663176e-14       4.319664841998e-14       1.778622779381e-13 
  137       1.804809496643e-14       4.220869034378e-14       1.737548171906e-13 
  138       1.764244530721e-14       4.125253705636e-14       1.697798390267e-13 
  139       1.724960434883e-14       4.032678452299e-14       1.659314670542e-13 
  140       1.686889797789e-14       3.942983761687e-14       1.622030282662e-13 
  141       1.649956947702e-14       3.855990587385e-14       1.585870353570e-13 
  142       1.614077772906e-14       3.771499924716e-14       1.550751690363e-13 
  143       1.579159542122e-14       3.689292386207e-14       1.516582603453e-13 
  144       1.545119475628e-14       3.609172065701e-14       1.483281231900e-13 
  145       1.511942901205e-14       3.531103900705e-14       1.450832928915e-13 
  146       1.479630516899e-14       3.455089108162e-14       1.419238223959e-13 
  147       1.448180083963e-14       3.381121943330e-14       1.388494758677e-13 
  148       1.417586355035e-14       3.309189529788e-14       1.358597216379e-13 
  149       1.387841002320e-14       3.239271689434e-14       1.329537251531e-13 
  150       1.358932545766e-14       3.171340772493e-14       1.301303419243e-13 
